[FILL] a	ACTION	AGENT/OBJECT	SCOPE	QUALIFIER	[FILL] is used for	FOR/PURPOSE	PATIENT	[FILL] by	AGENT/THING WHO USES	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
		telephones			are used for	communication		by	two people	by	transmitting sound					ba4a-e0d4-486c-cf9f
a		telescope			is used for	observing	stars;planets;moons;distant objects; the sky; celestial objects									4383-694e-b4d4-cd5d
a		television		can be	used for	communication										911e-1d6c-cbba-c371
the		properties	of something		are used for	describing	that something									33f0-39de-0983-aad8
		thermal gloves			are used for	protecting	the hand					against heat				56cf-e6c1-7c3f-a742
a		thermal insulator		can be	used to	remove	hot objects					from a heat source				a79c-b257-b8ca-1792
a		thermometer			is used to	measure	temperature									8346-8315-1f24-a5be
		thick fur; thick feathers		can be	used for	keeping warm										f42f-c815-0b10-13ce
		tidal energy		can be	used to	produce	electricity									2dc8-0f5e-7f78-4dce
		touch		can be	used for	detecting	texture									df67-2c42-2ea5-500d
a		tube			is used for	transporting	liquids									79d6-2fd6-a4dc-26f2
a		vehicle			is used for	travel										f06b-ece5-aa6c-f069
a		vehicle			is used for	transportation										6b1d-7b44-edfd-1acc
the		volume	of an object	can be	used to	describe 	the size					of that object				0cdb-042b-7900-4dee
a		watch;clock;stopwatch			is used for	measuring	time									563d-53cc-0a8a-e8da
	treating	water			is used to	remove	harmful substances					before drinking				a55e-c07d-73ca-c903
		waxy leaves			are used for	storing	water	by	some plants							5b67-9424-b9f5-a268
		webbed feet			are used for	moving faster through	water	by	aquatic animals							577f-1491-e68d-776d
		whiskers			are used for	feeling		by	animals							a57e-6830-a887-2134
a		white tile		can be	used as a	streak plate										efad-c789-3790-7d85
		wind			is used for	producing	electricity									1136-1a04-e6e6-5b99
		wings			are used to	fly	through air	by	birds							a1e0-a2f2-a898-9507
	burning	wood			is used to	produce	heat									cf2f-78eb-312b-8a6f
	camouflage				is used for	protection; hiding		by	prey; animals			against predators; from predators				ac8a-77b3-7190-7751
	hearing				is used for	sensing	sound	by	animals							372c-c52a-b8f0-bc43
