SUBDIVISION	[FILL] is a 	TYPE OF SUBDIVISION	[FILL] located in	COUNTRY	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
Radnorshire	is a	county	located in	Wales			f67a-b46c-720e-c82f
Aberdeenshire	is a	county	located in	Scotland			47ce-9452-6156-b946
Angus/Forfarshire	is a	county	located in	Scotland			f37c-be01-1527-15fa
Argyllshire	is a	county	located in	Scotland			bf1d-0422-7686-08a0
Ayrshire	is a	county	located in	Scotland			3c2b-e899-b881-c544
Banffshire	is a	county	located in	Scotland			5aa9-6969-d397-96e4
Berwickshire	is a	county	located in	Scotland			dfac-2e1a-b8b3-fa9a
Buteshire	is a	county	located in	Scotland			1700-4307-6cf8-0a90
Cromartyshire	is a	county	located in	Scotland			00eb-c91b-d5db-dc53
Caithness	is a	county	located in	Scotland			b99f-e895-7e19-2f57
Clackmannanshire	is a	county	located in	Scotland			3b48-3c54-b245-aace
Dumfriesshire	is a	county	located in	Scotland			6e8f-7061-4051-d04b
Dunbartonshire/Dumbartonshire	is a	county	located in	Scotland			3ef9-9e8b-4056-e8b4
East Lothian/Haddingtonshire	is a	county	located in	Scotland			7a49-27fe-9adf-5958
Fife	is a	county	located in	Scotland			7b89-aea3-8332-a324
Inverness-shire	is a	county	located in	Scotland			f53d-9bc7-b622-1a58
Kincardineshire	is a	county	located in	Scotland			cd04-3367-e5ec-eefd
Kinross-shire	is a	county	located in	Scotland			321a-1a34-3619-ea46
Kirkcudbrightshire	is a	county	located in	Scotland			e6c5-5bd7-b58e-ad30
Lanarkshire	is a	county	located in	Scotland			8036-a013-4298-c25f
Midlothian/Edinburghshire	is a	county	located in	Scotland			c24b-4249-7b18-d97e
Morayshire	is a	county	located in	Scotland			c308-d279-c3e9-8560
Nairnshire	is a	county	located in	Scotland			bed6-acd4-76d0-4a14
Orkney	is a	county	located in	Scotland			3ca2-b33c-be66-803f
Peeblesshire	is a	county	located in	Scotland			c403-871d-8656-f931
Perthshire	is a	county	located in	Scotland			8ad3-8e10-ba8c-2ffe
Renfrewshire	is a	county	located in	Scotland			a5df-6fcd-9de7-57a3
Ross-shire	is a	county	located in	Scotland			e372-ba85-aeec-2da4
Selkirkshire	is a	county	located in	Scotland			3453-396b-0bb3-4e13
Shetland	is a	county	located in	Scotland			f54f-f8f7-52f7-845a
Stirlingshire	is a	county	located in	Scotland			d6c6-92b5-3ef3-77eb
Sutherland	is a	county	located in	Scotland			1529-014d-66cb-2b2c
West Lothian/Linlithgowshire	is a	county	located in	Scotland			9438-dd66-1a62-99d1
Wigtownshire	is a	county	located in	Scotland			49ed-4302-4353-4330
Anhui	is a	province	located in	the People's Republic of China			6f23-b7f3-d505-e3c8
Fujian	is a	province	located in	the People's Republic of China			3ee0-6e8b-6b88-bb74
Gansu	is a	province	located in	the People's Republic of China			2677-0d42-37ba-957d
Guangdong	is a	province	located in	the People's Republic of China			d020-cefd-04fd-2cc9
Guizhou	is a	province	located in	the People's Republic of China			dbdb-f2a2-ba7f-ee07
Hainan	is a	province	located in	the People's Republic of China			2364-7e82-0aae-5009
Hebei	is a	province	located in	the People's Republic of China			ddeb-76ec-5c86-8b15
Heilongjiang	is a	province	located in	the People's Republic of China			d17e-0ec2-981c-4bfe
Henan	is a	province	located in	the People's Republic of China			422d-5942-6608-616e
Hubei	is a	province	located in	the People's Republic of China			107f-3cb6-e1cb-b5d8
Hunan	is a	province	located in	the People's Republic of China			5639-5d3f-e34d-611e
Jiangsu	is a	province	located in	the People's Republic of China			240c-6492-4f14-1ecf
Jiangxi	is a	province	located in	the People's Republic of China			7a2d-bb79-11bb-c0c8
Jilin	is a	province	located in	the People's Republic of China			2c37-f1c8-bba7-3cff
Liaoning	is a	province	located in	the People's Republic of China			cbc0-dff3-9795-f051
Qinghai	is a	province	located in	the People's Republic of China			bc4c-6595-5a01-c39e
Shaanxi	is a	province	located in	the People's Republic of China			8f30-64b8-83ad-e168
Shandong	is a	province	located in	the People's Republic of China			e3c3-1460-4bd1-55f5
Shanxi	is a	province	located in	the People's Republic of China			4231-a4fc-f163-f9e4
Sichuan	is a	province	located in	the People's Republic of China			3de1-aedb-199e-15dc
Yunnan	is a	province	located in	the People's Republic of China			a572-f4b2-3087-9d8f
Zhejiang	is a	province	located in	the People's Republic of China			1c3c-b52d-bc25-6f08
Guangxi; Guangxi Autonomous Region	is a	autonomous region	located in	the People's Republic of China			065e-077f-3ca5-c39c
Inner Mongolia; Inner Mongolia Autonomous Region	is a	autonomous region	located in	the People's Republic of China			d843-4eeb-11ff-ed6a
Ningxia; Ningxia Autonomous Region	is a	autonomous region	located in	the People's Republic of China			a907-41bb-20dc-dd95
Xinjiang; Xinjiang Autonomous Region	is a	autonomous region	located in	the People's Republic of China			cbf8-10e2-4439-ee11
Tibet; Tibet Autonomous Region	is a	autonomous region	located in	the People's Republic of China			1679-1965-c85f-b456
Beijing Municipality; Beijing	is a	municipality	located in	the People's Republic of China			ff41-99c6-d086-0a53
Chongqing Municipality; Chongqing	is a	municipality	located in	the People's Republic of China			7ad0-5547-b057-74e4
Shanghai Municipality; Shanghai	is a	municipality	located in	the People's Republic of China			6727-312e-3e1c-f1e6
Tianjin Municipality; Tianjin	is a	municipality	located in	the People's Republic of China			cc52-ba87-e6a2-c2ab
Hong Kong; Hong Kong Special Administrative Region	is a	special administrative region	located in	the People's Republic of China			a231-2746-b99d-ef50
Macau; Macau Special Administrative Region	is a	special administrative region	located in	the People's Republic of China			4b91-dccb-b6d5-cb3e
Chihuahua	is a	state	located in	Mexico			bbfe-efa1-6fb6-789e
Sonora	is a	state	located in	Mexico			d091-06fe-68ed-76a4
Coahuila	is a	state	located in	Mexico			56f2-f5dd-c305-f966
Durango	is a	state	located in	Mexico			8c7a-0e05-8cb7-811e
Oaxaca	is a	state	located in	Mexico			1466-8e45-44e9-dfd6
Tamaulipas	is a	state	located in	Mexico			77c0-22af-6b56-1cbc
Jalisco	is a	state	located in	Mexico			eb47-f7c0-0223-ffd6
Zacatecas	is a	state	located in	Mexico			2762-6a55-c23b-a25b
Baja California Sur	is a	state	located in	Mexico			5d3c-30dc-81b3-f446
Chiapas	is a	state	located in	Mexico			81e7-ddbd-e1db-3406
Veracruz	is a	state	located in	Mexico			ccc1-d499-e74c-1b92
Baja California	is a	state	located in	Mexico			f916-bbce-2759-663d
Nuevo LeÃ³n	is a	state	located in	Mexico			9146-25fe-03d8-716b
Guerrero	is a	state	located in	Mexico			00fb-b374-7f99-dd9a
San Luis PotosÃ­	is a	state	located in	Mexico			d93e-372d-793a-3bb7
MichoacÃ¡n	is a	state	located in	Mexico			cd43-008a-9891-6a35
Campeche	is a	state	located in	Mexico			146a-f9d2-9dc4-c6ac
Sinaloa	is a	state	located in	Mexico			c07a-95ad-296c-f9c0
Quintana Roo	is a	state	located in	Mexico			f8c4-7d15-e2a3-e3c2
YucatÃ¡n	is a	state	located in	Mexico			d97e-c89d-25b8-edca
Puebla	is a	state	located in	Mexico			05b9-5022-a64d-7a38
Guanajuato	is a	state	located in	Mexico			3213-0bef-d97e-aead
Nayarit	is a	state	located in	Mexico			e4e0-e4bf-0c50-1188
Tabasco	is a	state	located in	Mexico			1476-8846-bca5-5a50
MÃ©xico	is a	state	located in	Mexico			02c4-dba6-7fdf-cbcc
Hidalgo	is a	state	located in	Mexico			ddd5-8c35-fda9-85a1
QuerÃ©taro	is a	state	located in	Mexico			9173-8e98-619e-64bd
Colima	is a	state	located in	Mexico			3e78-064a-d036-718f
Aguascalientes	is a	state	located in	Mexico			e502-d887-cbf1-03e5
Morelos	is a	state	located in	Mexico			2b7c-a4e5-a8b2-e99e
Tlaxcala	is a	state	located in	Mexico			7917-6c39-afe1-cecf
Mexico City; Mexico, D.F.	is a	federal district	located in	Mexico			2ff2-399d-eb8c-61a3
