ACTION	[FILL] a	OBJECT/AGENT/PROCESS	SCOPE	QUANTIFIER	VERB (requires)	ACTION	QUANTITY/VALUE	[FILL] a	OBJECT	SCOPE	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
finding		something			requires	sensing			that something										beb5-0b99-d9ac-b8e5
learning about		something		sometimes	requires	observing			that something										d8a6-5c7b-d762-e968
studying 		something		usually	requires	seeing			that something										2530-6efd-e282-feb0
building		something		often	requires	measuring		the	materials										f58a-4d4f-e0ae-6833
calculating		speed			requires	knowing			distance travelled										98dd-55cb-7cfa-5e19
	a	sprinkler			requires				water		to	function							fa4f-3f9e-68fa-1b79
preparing for	a	storm			requires	predicting		the	occurrence	of that storm									bbef-5cd8-4316-7358
testing	the	streak	of a mineral		requires			the	powdered form	of that mineral									c275-7629-09d4-66e3
	a	tadpole			requires				water		to	breathe							c962-dbaf-be19-1b47
building	a	tool			requires	knowing about		the	parts	of that tool									667d-b7b6-7a2f-41ac
	a	tree			requires				space		to	grow							0d05-923d-7ac4-0ae8
	a	tree			requires				sunlight		to	grow							ba77-8e71-e07b-08fe
	a	tripe	in a vehicle		requires	using			that vehicle										ce92-ccfe-ccdf-061f
determining	the	type of an organism			requires	having			information	about that organism									a7a2-bae8-2f22-634d
making	a	valid conclusion	in an investigation		requires			a	testable hypothesis										9975-ef8f-39de-60bf
		vehicles		usually	require				gasoline		to	operate							0bb0-16b1-30de-d0e2
predicting		weather			requires	studying			weater										66f7-f191-3c2b-d38e
	a	wheeled vehicle			requires				smooth surfaces										57ff-11f6-5854-80c5
		wiring			requires			an	electrical conductor										b5f8-afed-3d08-707b
creating		wood-free paper		does not	require	cutting down			trees										c154-63ca-6d35-92b4
measuring					requires	reading		a	measurement										5c44-235c-9a3d-6182
being active					requires				energy										3e47-33d1-5c3d-ae35
running					requires		a lot of		energy										2401-2216-1d73-27d3
seeing					requires				light										e5ab-6c07-c15d-90f2
hunting					requires	seeing; sensing			prey										0857-a14d-3376-70f7
comparing					requires	observing			that something										cafd-1d6e-a47f-022b
building				usually	requires	cutting down			trees										0fb6-467a-43af-1af8
comparing					requires	measuring													5a5b-62f9-095f-8447
determining				often	requires	measuring; observing													fc75-dfcd-e46e-e318
investigating				sometimes	requires	measuring													131b-dab0-cb1e-e896
reading 					requires	seeing													09ac-6563-7f9f-67ca
testing				often	requires	measuring													4478-6d20-87bd-2cd1
